Category,Part,Mfr,Mfr PN,Distributor,Distributor URL,Qty,Unit Cost USD,Extended Cost USD,Lead Time,Notes
Thermal control,"Crydom D2425 AC SSR 25A 240VAC zero-cross",Sensata-Crydom,D2425,Digikey,https://www.digikey.com/en/products/detail/sensata-crydom/D2425/139477,1,44.50,44.50,1 week,"Main heater switching element; DIN-rail mount"
Thermal control,"Crydom DC60S5 DC SSR 5A for pre-stage",Sensata-Crydom,DC60S5,Digikey,https://www.digikey.com/en/products/detail/sensata-crydom/DC60S5/726895,1,32.00,32.00,1 week,"Backup/secondary low-current switching"
Thermal control,"KSD9700 100C NC bimetallic thermostat (safety)",Generic,KSD9700-100C,LCSC,https://www.lcsc.com/product-detail/Temperature-Sensors_KEAC-KSD9700-100-C-NC_C2909862.html,2,0.60,1.20,3 weeks,"Hardware safety interlock per PCB spec; 1 for board + 1 spare"
Thermal control,"55C bimetallic switch (overtemp signal)",Honeywell,2450R,Digikey,https://www.digikey.com/en/products/detail/honeywell-sensing-and-productivity-solutions/2450R/6138054,1,11.25,11.25,1 week,"GPIO10 OVERTEMP_SW input"
Thermal control,"ITO-coated heated glass 50x50x1.1mm",Diamond Coatings,ITO-50-70,Adafruit,https://www.adafruit.com/product/4377,1,18.95,18.95,3 days,"Imaging-head anti-condensation window"
Thermal control,"ITO-coated heated glass 300x200 (door window anti-fog)",Sigma Koki / Diamond Coatings,ITO-300x200,Diamond Coatings custom,https://diamondcoatings.com/contact/,1,185.00,185.00,2-3 weeks,"Optional upgrade to acrylic for anti-fog; alt: resistive heater wire"
Thermal control,"Anti-condensation heater wire Kapton 24 V 10 W/m (5 m)",OMEGA,KHLV-102/10,OMEGA,https://www.omega.com/en-us/heaters/surface-heaters/kapton-heaters/p/KHLV-Series,1,48.00,48.00,1 week,"Door anti-fog + hatch anti-condensation channels"
Thermal control,"NTC thermistor 10k beta 3950 (5-pack)",Adafruit,ADA372,Adafruit,https://www.adafruit.com/product/372,1,16.95,16.95,3 days,"Imaging window closed-loop temp sense"
Environmental,"MH-Z19B NDIR CO2 sensor 0-5%",Winsen,MH-Z19B,Digikey,https://www.digikey.com/en/products/detail/winsen-electronics-tech-co-ltd/MH-Z19B/10244833,1,35.00,35.00,1 week,"Chamber CO2 sensing via UART"
Environmental,"SHT40 temp + humidity sensor",Sensirion,SHT40-AD1B,Digikey,https://www.digikey.com/en/products/detail/sensirion-ag/SHT40-AD1B-R2/10130685,2,3.85,7.70,1 week,"Chamber RH + backup on imaging head"
Environmental,"DS18B20 waterproof 1-Wire temp probe",Maxim,DS18B20,Adafruit,https://www.adafruit.com/product/381,2,9.95,19.90,3 days,"Secondary temp + heater-block temp"
Environmental,"5 lb CO2 aluminum bulk tank + solenoid regulator dual stage",CO2Doctor,CD-5LB-DUAL,Amazon,https://www.amazon.com/dp/B07X3HH1RX,1,189.00,189.00,3 days,"5 lb / 2.3 kg tank; 26 refills/yr"
Environmental,"CO2 solenoid valve 12V 1/4 NPT (normally closed)",US Solid,JQRV-1/4-NC-DC12V,Amazon,https://www.amazon.com/dp/B07DLKZ4TG,1,22.99,22.99,2 days,"Inlet dosing under PWM"
Environmental,"1/8 inch CO2 tubing polyurethane 10 ft",Freelin-Wade,1R-100-08-Blue,Amazon,https://www.amazon.com/dp/B0854JQVQN,1,12.99,12.99,2 days,"Tank to chamber inlet"
Environmental,"80 mm axial fan 12 V 0.25 A ball bearing",Noctua,NF-A8 PWM,Digikey,https://www.digikey.com/en/products/detail/noctua/NF-A8-PWM/7873298,1,17.95,17.95,1 week,"Chamber internal circulation"
Environmental,"Millex-FG 0.2 um PTFE 50 mm HEPA vent filter (10 pack)",Millipore,SLFG05010,Millipore,https://www.emdmillipore.com/US/en/product/Millex-FG-Syringe-Filter-Unit/MM_NF-SLFG05010,1,98.00,98.00,1 week,"Media reservoir + waste bottle vents"
Environmental,"Omron E3F-DS30C4 optical beam sensor M12",Omron,E3F-DS30C4,Digikey,https://www.digikey.com/en/products/detail/omron-automation-and-safety/E3F-DS30C4/1025285,1,58.00,58.00,1-2 weeks,"Reservoir low-level detect"
Environmental,"Humidity water tray (2.5 mm PETG fabricated)",In-house,INT-HTRAY-01,"In-house 3D print",,1,0.00,0.00,1 day,"Covered by PETG filament line above"
Rocker mechanics,"NEMA 17 stepper motor 1.8 deg 2 A (rocker)",StepperOnline,17HS19-2004S1,Amazon,https://www.amazon.com/dp/B07M66J2D3,1,18.99,18.99,2 days,"Rocker drive; torque sufficient per artifact math (NEMA23 preferred for higher margin)"
Rocker mechanics,"NEMA 23 stepper motor 1.8 N-m (upgrade rocker)",StepperOnline,23HS30-2804S,StepperOnline,https://www.omc-stepperonline.com/nema-23-bipolar-1-8deg-2-8a-23hs30-2804s,1,39.50,39.50,5-7 days,"Rocker drive upgrade to original spec"
Rocker mechanics,"NEMA 17 stepper 5 x for pump manifold",StepperOnline,17HS19-1684S-PG5,Amazon,https://www.amazon.com/dp/B00PNEQ9Y4,5,18.99,94.95,2 days,"1 per Kamoer pump head (5 channels)"
Rocker mechanics,"TMC2209 stepper driver SilentStepStick 2.8 A",BIGTREETECH,TMC2209-V3.0,Amazon,https://www.amazon.com/dp/B084ZF7PMD,6,10.99,65.94,2 days,"1 rocker + 5 pumps"
Rocker mechanics,"Arduino-compatible stepper carrier board (for 6 drivers)",BIGTREETECH,SKR-Mini-E3-V3,Amazon,https://www.amazon.com/dp/B09JNWYDBP,1,45.00,45.00,2 days,"Runs Klipper/Marlin; interfaces via UART to ESP32"
Rocker mechanics,"8 mm acme lead screw 2 mm lead 300 mm",Misumi,MTSRA8-300-P2,McMaster-Carr,https://www.mcmaster.com/99030A103/,1,22.50,22.50,3 days,"Rocker drive leadscrew"
Rocker mechanics,"Flanged POM acme nut 22 mm OD M4 mount",StepperOnline,POM-ACME-22-M4,Amazon,https://www.amazon.com/dp/B08B6V8TRW,1,9.95,9.95,2 days,"Leadscrew nut"
Rocker mechanics,"R3-2RS radial ball bearing 19x9.525x5 (10 pack)",VXB,R3-2RS-10,VXB,https://www.vxb.com/R3-2RS-Sealed-Bearing-p/R3-2RS.htm,1,24.95,24.95,3 days,"Pivot bearings"
Rocker mechanics,"F688ZZ flanged bearing 8x16x5 (10 pack)",VXB,F688ZZ-10,VXB,https://www.vxb.com/F688ZZ-Flange-Ball-Bearing-p/F688ZZ.htm,1,19.95,19.95,3 days,"Lead-screw end bearings"
Rocker mechanics,"6.35 to 8 mm flexible jaw shaft coupler",Ruland,MWC20-8-1/4,McMaster-Carr,https://www.mcmaster.com/9861T72/,1,18.95,18.95,3 days,"Stepper-to-leadscrew"
Rocker mechanics,"8 mm x 50 mm precision dowel shaft (10 pack)",McMaster,6061K161,McMaster-Carr,https://www.mcmaster.com/6061K161/,1,14.95,14.95,3 days,"Pivot shafts"
Rocker mechanics,"Microswitch limit switch 12 V SPDT (5 pack)",Honeywell,V7-1B17D8,Amazon,https://www.amazon.com/dp/B07HB3MSDN,1,9.99,9.99,2 days,"Lead-screw home + limit"
Media delivery,"Kamoer KCS-B peristaltic pump head NEMA17 mount",Kamoer,KCS-B-S13-K,Cole-Parmer,https://www.coleparmer.com/s?q=kamoer+kcs,5,95.00,475.00,2-3 weeks,"5 independent pump heads for 5-shelf dosing"
Media delivery,"Platinum-cured silicone tubing 1.6 mm ID x 4.8 mm OD x 50 ft",Masterflex,96420-13,Cole-Parmer,https://www.coleparmer.com/i/masterflex-l-s-platinum-cured-silicone-pump-tubing-l-s-13-50-ft/9642013,1,165.00,165.00,3-5 days,"Masterflex L/S 13 equivalent"
Media delivery,"CPC AseptiQuik DC 1/4 hose barb connector (pair)",CPC Worldwide,AQCDC17004,Cole-Parmer,https://www.coleparmer.com/i/cpc-colder-aseptiquik-g-dc-quick-disconnect-fitting-genderless-hose-barb-polycarbonate-valved-1-4-id-1-each/5011174,6,55.00,330.00,1-2 weeks,"1 trunk + 5 drip-head QDs; gamma-sterile"
Media delivery,"PETG 8 L reservoir + lid (fabricated from sheet)",In-house,INT-RES-8L,In-house fabrication,,1,40.00,40.00,3 days,"Or purchase Nalgene 8 L Carboy 2210-0020 $58"
Media delivery,"Nalgene 8 L autoclavable carboy (alt)",Nalgene,2210-0020,Cole-Parmer,https://www.coleparmer.com/i/nalgene-2210-0020-autoclavable-polycarbonate-carboy-8-l-each/0621304,1,58.00,58.00,3-5 days,"Alt to printed reservoir; PC instead of PETG"
Media delivery,"Nalgene 4 L waste bottle with barbed vent cap",Nalgene,2125-0010,Cole-Parmer,https://www.coleparmer.com/i/nalgene-2125-0010-narrow-mouth-autoclavable-hdpe-bottle-4-l-each/0619502,1,18.50,18.50,3-5 days,"External waste collection"
Media delivery,"Luer-lock barbed fittings 1/8 polypropylene (25 pack)",Cole-Parmer,45518-00,Cole-Parmer,https://www.coleparmer.com/i/cole-parmer-polypropylene-male-luer-lock-to-1-8-id-hose-barb-25-pk/4551800,1,28.50,28.50,3-5 days,"Dip tubes + HEPA vent mating"
Media delivery,"Silicone grommet assembly 5-hole (1 pc custom)",Bumper Specialties,BS-5H-GROM,In-house cast,,1,15.00,15.00,1 week,"Wall passthrough grommet"
Media delivery,"1/4 NPT to 6 mm push-to-connect fitting (10 pack)",SMC,KQ2H06-02,Amazon,https://www.amazon.com/dp/B01MXGZOYU,1,16.99,16.99,2 days,"Misc media + CO2 fittings"
Chips + consumables,"Rev C microfluidic chip glass coverslip bottom",MIMETAS (or custom PDMS),OrganoPlate-2L,MIMETAS,https://www.mimetas.com/en/products/,100,25.00,2500.00,2-3 weeks,"100 chips for initial load; operational BOM handles reloads"
Chips + consumables,"Barcode labels 10x5 mm adhesive (1000 pack)",Brady,BR-10x5-1000,Amazon,https://www.amazon.com/dp/B07YJHFKCD,1,32.00,32.00,2 days,"Chip ID labels"
Chips + consumables,"Opentrons Flex 8-channel tip rack 96 x 10 packs",Opentrons,OT-TIP-200-10,Opentrons,https://shop.opentrons.com/opentrons-200ul-filter-tips/,1,180.00,180.00,1 week,"Starter tip stock; operational BOM for sustaining"
PCB + electronics,"ESP32-S3-WROOM-1-N8R8 module",Espressif,ESP32-S3-WROOM-1-N8R8,Digikey,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N8R8/16162642,1,4.50,4.50,1 week,"Main MCU"
PCB + electronics,"LM2596S-5.0 buck regulator TO-263-5",TI,LM2596SX-5.0/NOPB,Digikey,https://www.digikey.com/en/products/detail/texas-instruments/LM2596SX-5-0-NOPB/3494243,1,8.20,8.20,1 week,"5 V rail"
PCB + electronics,"AMS1117-3.3 LDO SOT-223",AMS,AMS1117-3.3,LCSC,https://www.lcsc.com/product-detail/Linear-Voltage-Regulators-LDO_Advanced-Monolithic-Systems-AMS1117-3-3_C6186.html,1,0.12,0.12,3 weeks,"3.3 V rail"
PCB + electronics,"CH340N USB-UART bridge SOP-8",WCH,CH340N,LCSC,https://www.lcsc.com/product-detail/USB-ICs_WCH-CH340N_C506813.html,1,0.50,0.50,3 weeks,"Fallback UART bootloader"
PCB + electronics,"DC barrel jack 2.1x5.5 mm through-hole",CUI,PJ-102A,Digikey,https://www.digikey.com/en/products/detail/cui-inc/PJ-102A/408448,1,1.10,1.10,1 week,"24 V power input"
PCB + electronics,"5.08 mm pitch screw terminal 2-pin (10 pack)",On Shore,ED2609,Digikey,https://www.digikey.com/en/products/detail/on-shore-technology-inc/ED2609/2794604,1,8.50,8.50,1 week,"J3-J5 heater/fan/solenoid"
PCB + electronics,"JST-PH 3-pin header + cable kit",JST,B3B-PH-K-S,Digikey,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B3B-PH-K-S/926612,3,0.55,1.65,1 week,"Sensor connectors"
PCB + electronics,"JST-PH 4-pin header + cable kit",JST,B4B-PH-K-S,Digikey,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4B-PH-K-S/926613,2,0.60,1.20,1 week,"I2C sensor"
PCB + electronics,"USB-C receptacle 6P SMD",GCT,USB4085-GF-A,Digikey,https://www.digikey.com/en/products/detail/gct/USB4085-GF-A/9859733,1,1.25,1.25,1 week,"Programming port"
PCB + electronics,"IRLZ44N logic-level N-MOSFET TO-220",Infineon,IRLZ44NPBF,Digikey,https://www.digikey.com/en/products/detail/infineon-technologies/IRLZ44NPBF/811808,2,0.85,1.70,1 week,"Fan + solenoid low-side switches"
PCB + electronics,"SS54 Schottky SMA 5A 40V (10 pack)",Fairchild,SS54,Digikey,https://www.digikey.com/en/products/detail/onsemi/SS54/641104,1,3.20,3.20,1 week,"Power OR-ing + reverse polarity"
PCB + electronics,"SMBJ30A TVS diode SMB",Littelfuse,SMBJ30A,Digikey,https://www.digikey.com/en/products/detail/littelfuse-inc/SMBJ30A/1009395,1,0.45,0.45,1 week,"24 V input TVS"
PCB + electronics,"Omron G6K-2F-Y 5V SPDT relay SMD",Omron,G6K-2F-Y-DC5,Digikey,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/G6K-2F-Y-DC5/269794,1,3.20,3.20,1 week,"CO2 solenoid high-side relay K1"
PCB + electronics,"Wurth WE-PD 7345 33uH 3A inductor",Wurth,744043330,Digikey,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/744043330/4017502,1,2.40,2.40,1 week,"LM2596 output"
PCB + electronics,"220uF 35V radial electrolytic",Panasonic,EEU-FR1V221,Digikey,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEU-FR1V221/2716946,1,0.95,0.95,1 week,"Input bulk C1"
PCB + electronics,"220uF 10V radial electrolytic",Panasonic,EEU-FR1A221,Digikey,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEU-FR1A221/2716940,1,0.75,0.75,1 week,"Output bulk C2"
PCB + electronics,"MLCC + R kit 0603/0805 (for R1-R14, C3-C7, LEDs)",Generic,SMD-KIT-0603,Amazon,https://www.amazon.com/dp/B07VVY2M16,1,28.00,28.00,2 days,"All 0603 passives + 0805 LEDs per PCB BOM"
PCB + electronics,"2.54 mm pin header 40 pos (5 pack)",Sullins,PREC040SAAN-RC,Digikey,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PREC040SAAN-RC/2775214,1,5.50,5.50,1 week,"J11/J12 headers"
PCB + electronics,"PCB screw terminal 3 pos 5.08 mm (10 pack)",On Shore,ED2610,Digikey,https://www.digikey.com/en/products/detail/on-shore-technology-inc/ED2610/2794605,1,9.50,9.50,1 week,"Aux connections"
PCB fab cost,"JLCPCB 5x bare boards 100x80 mm 2L HASL green",JLCPCB,JLC-5PCS-2L,JLCPCB,https://cart.jlcpcb.com/quote,1,7.00,7.00,5-7 business days,"v1 PCB bare; run 5 boards per reorder"
PCB fab cost,"JLCPCB Economic SMT assembly 5x boards ~30 placements",JLCPCB,JLC-SMT-ECON,JLCPCB,https://cart.jlcpcb.com/quote,1,45.00,45.00,4-5 days post-PCB,"Per artifact A-4220853D estimate"
PCB fab cost,"JLCPCB shipping DHL Express US",JLCPCB,JLC-DHL-US,JLCPCB,https://cart.jlcpcb.com/,1,18.00,18.00,2-3 days after fab,"DHL express"
Imaging,"Basler daA1920-30um board-level camera USB3",Basler,107015,Basler,https://www.baslerweb.com/en-us/shop/daa1920-30um-no-mount/,1,419.00,419.00,1-2 weeks,"Mono 1920x1200 30 fps"
Imaging,"Tamron M118FM08 S-mount 8 mm f/1.4 machine vision lens",Tamron,M118FM08,Edmund Optics,https://www.edmundoptics.com/p/8mm-focal-length-c-mount-lens/5253/,1,185.00,185.00,1-2 weeks,"Matched to daA1920 sensor"
Imaging,"Luxeon Rebel 470 nm LED star (3 pack)",Luxeon,LXML-PR02-A900,Digikey,https://www.digikey.com/en/products/detail/lumileds/L1-0-B470001500000/13814041,3,8.50,25.50,1 week,"Fluorescence excitation"
Imaging,"Thorlabs FELH0520 520 nm long-pass filter 25 mm",Thorlabs,FELH0520,Thorlabs,https://www.thorlabs.com/thorproduct.cfm?partnumber=FELH0520,1,175.00,175.00,1-2 weeks,"Fluorescence emission filter"
Imaging,"Thorlabs motorized filter flipper MFF101",Thorlabs,MFF101,Thorlabs,https://www.thorlabs.com/thorproduct.cfm?partnumber=MFF101,1,595.00,595.00,1-2 weeks,"Flip filter in/out for brightfield vs fluorescence"
Imaging,"Adafruit 24-LED NeoPixel ring 3000-5000K CRI90",Yuji LED,VTC-5S-3500K-24,Yuji International,https://store.yujiintl.com/collections/led-strip-lights,1,48.00,48.00,1 week,"White diffuse ring (LAMP colorimetric)"
Imaging,"660 nm red LED ring 8-pos for darkfield",Adafruit,ADA1586-660,Adafruit,https://www.adafruit.com/product/1586,1,12.95,12.95,3 days,"Darkfield morphology"
Imaging,"MGN12H linear rail 500 mm + 2 carriages (pair)",Hiwin,MGN12H-500-2C,Amazon,https://www.amazon.com/dp/B07Q8DWTK4,2,48.00,96.00,3 days,"X and Y gantry rails"
Imaging,"2040 V-slot extrusion 500 mm (4 pack)",OpenBuilds,V-SLOT-2040-500-4,Amazon,https://www.amazon.com/dp/B01BFZJMHE,1,46.00,46.00,3 days,"Gantry beams"
Imaging,"NEMA 17 stepper motor 2-pack (X and Y gantry)",StepperOnline,17HS19-2004S1-2PK,Amazon,https://www.amazon.com/dp/B00PNEQ6OC,1,34.99,34.99,2 days,"Gantry motion; pairs with drivers already in rocker line"
Imaging,"GT2 fiberglass belt + pulley kit 20T + idlers",BIGTREETECH,GT2-FG-KIT,Amazon,https://www.amazon.com/dp/B07B6TT1R1,1,22.99,22.99,2 days,"Gantry drive; fiberglass tolerates humidity"
Imaging,"Z-axis 10 mm linear stepper focus module",ZYLtech,ZYL-Z10,Amazon,https://www.amazon.com/dp/B07FDG8QVZ,1,38.00,38.00,2 days,"Head focus"
Imaging,"Raspberry Pi 5 8GB + official case + PSU",Raspberry Pi,RPi5-8GB-KIT,PiShop,https://www.pishop.us/product/raspberry-pi-5-kit/,1,120.00,120.00,3 days,"Image acquisition + MQTT publisher"
Imaging,"Samsung 990 Pro 2 TB NVMe SSD",Samsung,MZ-V9P2T0B/AM,Amazon,https://www.amazon.com/dp/B0BHJJ9Y77,1,165.00,165.00,2 days,"Hot storage"
Imaging,"Igus Chainflex CF9 USB3 silicone-jacketed 3 m",Igus,CF9-USB3-3M,Igus,https://www.igus.com/product/cf9,1,85.00,85.00,1-2 weeks,"Humid-environment rated USB3"
Imaging,"IP65 cable gland 16 mm + 20 mm 4-pack",Heyco,M3244G,McMaster-Carr,https://www.mcmaster.com/69915K15/,1,12.50,12.50,3 days,"Chamber wall gland for USB + power"
LH interface mechanics,"MG996R metal-gear servo 2-pack",TowerPro,MG996R-2PK,Amazon,https://www.amazon.com/dp/B07F7Y5C9H,1,18.99,18.99,2 days,"Clamshell hatch servos"
LH interface mechanics,"Ball-bearing drawer slides 500 mm (pair, 5 pair pack)",Hafele,HAFL-500-5PR,Amazon,https://www.amazon.com/dp/B07M9V1B6X,1,128.00,128.00,3 days,"5 shelf-extension rails"
LH interface mechanics,"5 mm solenoid lock pin 12 V (5 pack)",Adafruit,ADA1512-5PK,Amazon,https://www.amazon.com/dp/B07S4V6K3Q,1,42.95,42.95,2 days,"Detent locking pins (1 per rail x 5)"
LH interface mechanics,"12 mm retro-reflective fiducial disks (100 pack)",3M,7610,Amazon,https://www.amazon.com/dp/B07B51N5B2,1,22.00,22.00,2 days,"Per-shelf fiducial markers; need 15 (5 shelves x 3)"
LH interface mechanics,"Aluminum L-bracket 80x80x40 (5 pack)",Boshart,ANG-80-5,McMaster-Carr,https://www.mcmaster.com/4458T45/,1,36.00,36.00,3 days,"Fiducial frames"
LH interface mechanics,"Limit switch lever 5-pack 12V",Gikfun,AE1001-5PK,Amazon,https://www.amazon.com/dp/B01N3ZO4DD,1,9.99,9.99,2 days,"Rail home + deployed detect"
Wiring + power,"Mean Well RSP-320-24 24V 13.3A PSU",Mean Well,RSP-320-24,Digikey,https://www.digikey.com/en/products/detail/mean-well-usa-inc/RSP-320-24/7701134,1,89.50,89.50,1 week,"Main 24 V rail"
Wiring + power,"Mean Well RSP-150-12 12V 12.5A PSU",Mean Well,RSP-150-12,Digikey,https://www.digikey.com/en/products/detail/mean-well-usa-inc/RSP-150-12/7701131,1,48.00,48.00,1 week,"12 V fan/heater rail"
Wiring + power,"Mean Well RSP-75-5 5V 15A PSU",Mean Well,RSP-75-5,Digikey,https://www.digikey.com/en/products/detail/mean-well-usa-inc/RSP-75-5/7701109,1,42.00,42.00,1 week,"5 V logic rail"
Wiring + power,"APC SRT1500XLA 1500VA online UPS",APC,SRT1500XLA,Amazon,https://www.amazon.com/dp/B00G3AJ4X0,1,795.00,795.00,3-5 days,"Power outage protection"
Wiring + power,"Silicone USB power cable 18 AWG 50 ft",Remington,SIL-18-50,Amazon,https://www.amazon.com/dp/B08N12FGCT,1,28.00,28.00,2 days,"Internal chamber wiring (silicone jacket)"
Wiring + power,"JST-XH pre-crimped cable kit 500 pc",Hilitchi,JST-XH-500,Amazon,https://www.amazon.com/dp/B01DUC1O68,1,19.99,19.99,2 days,"Internal connectors"
Wiring + power,"Waterproof M12 panel connectors 5-pin (5 pack)",Amphenol,M12-F-5P-5PK,Amazon,https://www.amazon.com/dp/B08R8VBCXD,1,24.99,24.99,2 days,"External chamber interface"
Wiring + power,"DIN-rail terminal block kit (40 pos)",Phoenix,3031212-40,Amazon,https://www.amazon.com/dp/B07G3DS47G,1,42.00,42.00,2 days,"Control box wiring"
Wiring + power,"NEMA 4X enclosure 300x200x150 mm",Hammond,1554J2GYCL,Digikey,https://www.digikey.com/en/products/detail/hammond-manufacturing/1554J2GYCL/5789083,1,58.00,58.00,1 week,"External controller housing"
Wiring + power,"Cat6 shielded cable 25 ft",Monoprice,MP-CAT6-25FT,Monoprice,https://www.monoprice.com/product?p_id=5902,1,9.99,9.99,2 days,"MQTT/Ethernet backhaul"
Software/misc,"Mosquitto MQTT broker (on RPi 5)",Eclipse,mosquitto,open source,https://mosquitto.org/,1,0.00,0.00,n/a,"Free; runs on RPi 5 already counted"
Software/misc,"Raspberry Pi OS / Ubuntu Server",RPi Foundation,RPiOS-64,open source,https://www.raspberrypi.com/software/,1,0.00,0.00,n/a,"Free"
Software/misc,"GitHub Actions CI (self-hosted runner on Mac Mini)",GitHub,GH-Actions,GitHub,https://github.com/features/actions,1,0.00,0.00,n/a,"Already provisioned"
Software/misc,"Labels + sharpie + calibration slides kit",Generic,LAB-KIT-MISC,Amazon,https://www.amazon.com/dp/B08F9P5WWK,1,45.00,45.00,2 days,"Lab consumables for build"
Software/misc,"CAD/firmware dev licensing (Fusion personal + KiCad)",Autodesk / KiCad,F360-PERS,Autodesk,https://www.autodesk.com/products/fusion-360/personal,1,0.00,0.00,n/a,"Fusion personal free; KiCad open source"
Software/misc,"Project documentation binder + printed SOPs",Staples,SOP-BINDER-KIT,Amazon,https://www.amazon.com/dp/B078VZBDH4,1,75.00,75.00,2 days,"Build-record keeping"
Software/misc,"NIST-traceable calibration standards (thermocouple, RH, CO2 check gas)",Omega / Fluke,CAL-STD-KIT,OMEGA,https://www.omega.com/en-us/calibration/,1,485.00,485.00,1-2 weeks,"Commissioning calibration"
Structural,"Custom fabrication labor (CNC + sheet metal) estimate",Local machine shop,CUSTOM-FAB-LABOR,SendCutSend,https://sendcutsend.com/,1,850.00,850.00,7-10 business days,"Rocker base/top + chip rack shelves CNC; ~12 hr shop time"
Structural,"3D print farm service for PETG chamber pieces",Hubs / JLCPCB 3DP,3DP-PETG-SVC,Hubs,https://www.hubs.com/3d-printing-service/,1,680.00,680.00,5-7 days,"Chamber + shell + posts + drip heads; ~3 kg PETG outsourced print alt to in-house"
Environmental,"Class II Type A2 Biosafety Cabinet 4 ft (used/refurbished)",NuAire / Labconco,LCONCO-3440001-USED,LabX used market,https://www.labx.com/product/biosafety-cabinet,1,4500.00,4500.00,2-4 weeks,"Required for sterile LH access per artifact A-71001BA1 section 5"
Environmental,"254 nm UV-C decontamination lamp 36W",Philips,TUV-36W-G36T5,Amazon,https://www.amazon.com/dp/B07PTN3P5G,1,48.00,48.00,2 days,"BSC UV decon between batches"
